Index;ax;ay;az;gx;gy;gz
59;-0.23;-0.20;0.87;30.03;-37.11;-8.85
60;-0.23;-0.22;0.83;30.88;-35.52;-10.07
61;-0.55;-0.29;0.81;29.48;-33.26;-9.03
62;-0.24;-0.34;0.74;19.84;-5.25;7.75
63;-0.10;-0.16;0.70;8.91;0.79;2.81
64;-0.39;-0.33;0.65;13.18;-11.60;-1.10
65;-0.37;-0.38;0.58;6.41;-6.77;0.55
66;-0.28;-0.27;0.56;-11.47;8.36;3.66
67;-0.18;-0.11;0.59;-20.94;17.52;6.16
68;-0.20;-0.05;0.61;-15.69;14.59;3.54
69;-0.17;-0.10;0.62;-2.99;10.50;1.16
70;-0.16;-0.14;0.64;7.39;4.94;-1.46
71;-0.16;-0.18;0.65;13.61;-0.24;-3.42
72;-0.16;-0.21;0.66;15.56;-4.03;-5.19
73;-0.16;-0.22;0.66;15.20;-6.41;-5.80
74;-0.16;-0.23;0.67;13.85;-9.22;-4.94
75;-0.18;-0.27;0.69;10.38;-11.72;-4.27
76;-0.28;-0.31;0.71;2.93;-10.99;-1.89
77;-0.19;-0.28;0.71;-8.12;-2.87;6.29
78;-0.06;-0.17;0.73;-17.76;4.15;11.41
79;-0.14;-0.16;0.75;-18.98;7.08;7.20
80;-0.12;-0.13;0.76;-17.88;11.66;2.26
81;-0.12;-0.12;0.77;-16.36;14.83;-0.61
82;-0.13;-0.10;0.78;-14.10;16.17;-2.75
83;-0.14;-0.09;0.78;-11.90;16.85;-4.76
84;-0.16;-0.09;0.78;-10.25;16.36;-6.04
85;-0.16;-0.09;0.79;-8.48;15.01;-5.00
86;-0.15;-0.10;0.79;-6.84;12.39;-2.01
87;-0.15;-0.12;0.80;-6.35;9.52;1.65
88;-0.14;-0.14;0.81;-7.81;6.96;5.62
89;-0.13;-0.16;0.82;-10.99;5.19;9.28
90;-0.13;-0.15;0.82;-15.99;4.46;11.41
91;-0.13;-0.14;0.81;-21.12;4.76;11.72
92;-0.13;-0.11;0.82;-25.57;4.88;10.99
93;-0.15;-0.08;0.84;-27.89;5.49;8.48
94;-0.17;-0.07;0.88;-26.55;8.67;7.08
95;-0.17;-0.07;0.92;-22.46;14.40;6.16
96;-0.17;-0.08;0.96;-17.70;21.67;5.62
97;-0.18;-0.11;0.97;-13.67;28.99;5.31
98;-0.20;-0.16;0.97;-11.54;36.07;4.76
99;-0.20;-0.18;0.97;-12.94;43.03;3.85
100;-0.30;-0.16;1.00;-15.44;48.52;2.75
101;-0.18;-0.28;0.99;-15.69;51.15;1.59
102;-0.25;-0.17;1.03;-20.39;56.03;-18.07
103;-0.26;-0.20;1.06;-21.30;58.35;-16.85
104;-0.24;-0.17;1.08;-18.49;59.39;-11.96
105;-0.24;-0.17;1.10;-13.61;58.53;-6.16
106;-0.22;-0.18;1.15;-8.85;57.68;-4.64
107;0.02;-0.06;1.21;-6.47;55.11;-4.52
108;0.02;0.04;1.41;3.23;41.75;-7.57
109;-0.07;-0.21;1.49;22.64;13.12;-49.74
110;-0.18;-0.11;1.53;21.85;-14.95;-40.47
111;-0.10;-0.37;1.58;26.25;-20.57;18.37
112;-0.14;-0.28;1.66;17.46;-22.71;12.70
113;-0.27;-0.35;1.66;8.67;-27.16;-9.70
114;-0.24;-0.32;1.65;-0.79;-19.84;-7.69
115;-0.21;-0.34;1.61;-8.24;-13.67;4.94
116;-0.23;-0.28;1.57;-16.60;-13.73;8.91
117;-0.22;-0.21;1.53;-22.52;-15.75;9.64
118;-0.22;-0.18;1.48;-24.66;-17.27;10.13
119;-0.24;-0.14;1.42;-23.93;-18.37;7.81
120;-0.29;-0.13;1.37;-21.61;-18.49;7.32
121;-0.31;-0.11;1.31;-19.04;-15.26;7.63
122;-0.31;-0.08;1.27;-16.54;-9.58;7.93
123;-0.30;-0.04;1.24;-13.00;-3.85;8.18
124;-0.28;-0.04;1.21;-7.14;0.98;7.39
125;-0.25;-0.03;1.19;-2.32;4.64;4.27
126;-0.22;-0.01;1.18;3.36;4.52;1.28
127;-0.19;-0.06;1.16;12.21;-0.06;0.31
128;-0.21;-0.11;1.14;18.92;-5.68;-0.31
129;-0.21;-0.15;1.14;20.69;-9.95;1.77
130;-0.19;-0.14;1.14;19.04;-13.49;3.85
131;-0.17;-0.14;1.14;17.52;-16.85;3.72
132;-0.18;-0.14;1.13;16.24;-19.65;2.26
133;-0.17;-0.13;1.11;14.71;-21.36;1.16
134;-0.18;-0.14;1.10;14.04;-21.73;0.73
135;-0.19;-0.15;1.09;13.79;-22.03;0.37
136;-0.19;-0.17;1.07;13.31;-22.03;-0.12
137;-0.19;-0.17;1.05;12.02;-20.26;-1.04
138;-0.31;-0.18;1.02;10.62;-16.85;0.06
139;-0.14;-0.08;1.00;7.87;-6.84;-2.81
140;-0.25;-0.11;0.96;12.08;-12.15;-6.23
141;-0.21;-0.10;0.94;17.76;-12.70;-7.02
142;-0.23;-0.15;0.92;22.09;-14.77;-7.32
143;-0.24;-0.16;0.90;23.80;-14.22;-10.07
144;-0.24;-0.18;0.87;23.13;-13.18;-10.68
145;-0.24;-0.19;0.85;22.22;-12.51;-9.64
146;-0.23;-0.19;0.84;19.96;-12.15;-6.23
147;-0.22;-0.21;0.82;16.30;-11.54;-3.23
148;-0.22;-0.20;0.79;10.99;-10.07;-0.92
149;-0.22;-0.20;0.78;4.88;-8.30;1.22
150;-0.22;-0.20;0.78;-0.49;-5.80;2.75
151;-0.21;-0.18;0.77;-4.64;-1.34;2.93
152;-0.19;-0.16;0.76;-7.26;3.54;2.26
153;-0.17;-0.11;0.75;-8.42;7.20;1.59
154;-0.14;-0.07;0.75;-6.96;8.67;-0.31
155;-0.13;-0.06;0.74;-3.23;8.61;-3.66
156;-0.13;-0.04;0.75;1.10;8.30;-7.08
157;-0.12;-0.04;0.76;6.04;7.81;-9.77
158;-0.12;-0.07;0.78;10.80;7.51;-10.74
159;-0.12;-0.10;0.81;13.67;7.63;-9.95
160;-0.13;-0.15;0.83;13.79;8.42;-8.00
161;-0.14;-0.16;0.85;10.62;9.89;-5.19
162;-0.16;-0.16;0.87;5.13;12.27;-2.44
163;-0.16;-0.16;0.89;-0.49;15.32;0.24
164;-0.16;-0.13;0.92;-5.25;18.68;2.14
165;-0.15;-0.10;0.94;-7.69;21.79;2.50
166;-0.14;-0.11;0.96;-7.81;23.74;2.62
167;-0.11;-0.09;0.99;-6.41;25.02;2.99
168;-0.08;-0.08;1.03;-3.78;23.50;3.05
169;-0.06;-0.08;1.08;1.16;18.43;2.38
170;-0.07;-0.13;1.11;6.59;11.47;1.34
171;-0.10;-0.17;1.12;9.03;5.68;0.92
172;-0.14;-0.19;1.13;7.63;2.38;0.67
173;-0.15;-0.18;1.12;3.85;0.55;0.73
174;-0.17;-0.18;1.11;0.61;-0.79;0.98
175;-0.19;-0.18;1.08;-1.83;-1.34;1.04
176;-0.21;-0.18;1.06;-4.52;-0.49;0.18
177;-0.22;-0.16;1.05;-6.47;1.77;-0.43
178;-0.21;-0.16;1.02;-6.90;3.11;0.12
179;-0.21;-0.15;1.01;-6.59;4.03;0.73
180;-0.21;-0.13;1.01;-5.92;5.07;0.73
181;-0.20;-0.11;1.02;-3.72;4.82;0.24
182;-0.20;-0.10;1.03;0.55;3.23;0.00
183;-0.20;-0.13;1.03;4.94;1.71;-0.24
184;-0.20;-0.14;1.02;6.77;1.16;-0.12
185;-0.19;-0.14;1.03;6.35;1.34;-0.06
186;-0.19;-0.15;1.04;5.00;1.53;-0.12
187;-0.18;-0.16;1.05;4.03;2.14;0.43
188;-0.16;-0.16;1.06;1.95;3.23;1.40
189;-0.14;-0.15;1.07;0.06;4.15;2.44
190;-0.15;-0.14;1.08;-0.79;4.27;2.50
191;-0.15;-0.12;1.09;-0.92;4.09;1.59
192;-0.15;-0.11;1.08;0.24;3.48;0.24
193;-0.16;-0.11;1.07;2.50;2.32;-0.73
194;-0.16;-0.12;1.07;3.66;0.98;-1.04
195;-0.15;-0.11;1.08;3.17;-0.06;-1.16
196;-0.15;-0.13;1.09;3.30;-1.46;-1.59
197;-0.15;-0.10;1.11;3.60;-3.17;-2.20
198;-0.15;-0.13;1.12;5.55;-4.82;-2.69
199;-0.17;-0.13;1.13;6.59;-6.04;-1.83
200;-0.18;-0.14;1.14;5.92;-7.02;-0.73
201;-0.19;-0.13;1.16;4.88;-7.81;0.31
202;-0.20;-0.14;1.18;3.85;-8.18;1.34
203;-0.19;-0.13;1.21;3.11;-8.42;2.44
204;-0.19;-0.15;1.22;3.54;-8.91;3.17
205;-0.20;-0.17;1.23;3.97;-9.64;3.48
206;-0.19;-0.17;1.22;3.60;-10.74;3.66
207;-0.18;-0.18;1.20;3.23;-12.82;2.99
208;-0.19;-0.16;1.17;2.14;-15.44;1.95
209;-0.19;-0.11;1.15;1.83;-19.17;0.31
210;-0.20;-0.08;1.14;4.39;-24.05;-1.46
211;-0.21;-0.10;1.12;10.74;-29.60;-2.87
212;-0.24;-0.15;1.10;16.24;-34.00;-3.72
213;-0.26;-0.18;1.09;18.19;-35.46;-3.78
214;-0.27;-0.19;1.07;16.85;-34.85;-3.48
215;-0.28;-0.19;1.05;14.83;-33.51;-2.93
216;-0.29;-0.20;1.02;12.51;-31.43;-1.95
217;-0.30;-0.20;0.99;9.34;-28.14;-0.37
218;-0.30;-0.22;0.95;5.80;-24.66;1.53
219;-0.29;-0.19;0.93;1.28;-21.00;3.48
220;-0.27;-0.13;0.91;-1.34;-18.13;4.09
221;-0.25;-0.12;0.89;-0.06;-17.33;3.23
222;-0.24;-0.11;0.87;3.78;-17.70;1.65
223;-0.22;-0.12;0.86;8.91;-18.80;-0.73
224;-0.11;-0.13;0.84;13.31;-21.12;-3.05
225;-0.40;-0.25;0.81;14.40;-14.83;4.27
226;-0.16;-0.14;0.77;7.39;-1.40;7.45
227;-0.26;-0.20;0.73;6.47;-5.43;6.23
228;-0.25;-0.20;0.69;2.75;-1.89;4.03
229;-0.20;-0.13;0.66;-5.68;3.72;4.39
230;-0.17;-0.07;0.63;-11.96;7.51;3.60
231;-0.15;-0.01;0.63;-13.06;8.12;2.26
232;-0.15;0.01;0.64;-8.00;5.92;-0.37
233;-0.13;-0.01;0.64;-0.24;2.14;-2.99
234;-0.12;-0.04;0.64;6.77;-1.04;-3.42
235;-0.13;-0.08;0.65;11.41;-3.11;-2.26
236;-0.12;-0.08;0.68;13.79;-3.36;-5.43
237;-0.13;-0.09;0.70;16.30;-4.15;-6.29
238;-0.15;-0.14;0.72;18.25;-4.70;-8.42
239;-0.13;-0.14;0.73;16.85;-3.54;-6.96
240;-0.13;-0.16;0.74;13.49;-1.28;-4.58
241;-0.15;-0.18;0.75;8.54;3.05;-3.17
242;-0.15;-0.17;0.77;2.08;7.75;-0.61
243;-0.14;-0.15;0.80;-2.87;11.90;1.83
244;-0.15;-0.12;0.82;-6.10;16.30;4.03
245;-0.15;-0.11;0.84;-6.84;21.00;6.10
246;-0.15;-0.11;0.84;-6.59;24.54;7.39
247;-0.14;-0.09;0.85;-5.49;26.12;7.20
248;-0.15;-0.09;0.86;-4.09;25.51;5.62
249;-0.16;-0.11;0.86;-2.93;23.74;3.60
250;-0.17;-0.10;0.89;-3.17;22.64;2.01
251;-0.15;-0.08;0.91;-2.14;22.09;1.10
252;-0.14;-0.07;0.92;0.49;20.94;0.73
253;-0.14;-0.09;0.92;4.09;19.17;1.16
254;-0.16;-0.14;0.92;5.13;17.15;2.50
255;-0.19;-0.15;0.92;2.62;15.56;4.70
256;-0.23;-0.13;0.91;-1.83;15.69;6.47
257;-0.28;-0.13;0.93;-5.62;16.54;8.06
258;-0.32;-0.12;0.95;-7.87;19.96;9.09
259;-0.35;-0.13;0.98;-8.12;27.04;9.70
260;-0.35;-0.13;0.99;-6.23;35.83;10.74
261;-0.34;-0.15;1.00;-3.48;44.31;10.99
262;-0.32;-0.19;0.99;-1.89;51.33;10.86
263;-0.28;-0.21;0.99;-4.09;56.52;9.70
264;-0.25;-0.26;1.04;-7.93;59.81;8.06
265;-0.22;-0.25;1.10;-11.60;62.07;7.51
266;-0.18;-0.25;1.15;-13.43;62.44;7.14
267;-0.19;-0.27;1.20;-13.43;61.10;5.62
268;-0.16;-0.29;1.23;-13.18;57.19;2.38
269;-0.07;-0.22;1.26;-14.65;54.81;-3.36
270;-0.09;-0.34;1.32;-11.11;42.85;-13.67
271;-0.32;-0.23;1.29;-7.08;20.75;-48.58
272;-0.18;-0.10;1.29;-9.77;14.10;-18.80
273;-0.11;-0.17;1.30;-5.55;6.16;1.71
274;-0.17;-0.15;1.32;-4.94;2.56;-14.77
275;-0.17;-0.12;1.36;-6.04;3.42;-22.89
276;-0.15;-0.12;1.40;-4.94;4.39;-17.70
277;-0.17;-0.12;1.41;-3.36;5.00;-14.83
278;-0.16;-0.11;1.42;-1.65;5.80;-8.18
279;-0.13;-0.12;1.41;-0.24;6.59;-1.16
280;-0.11;-0.12;1.40;-1.04;6.04;2.08
281;-0.11;-0.11;1.40;-3.60;4.70;5.00
282;-0.08;-0.10;1.41;-6.10;3.91;7.32
283;-0.08;-0.09;1.40;-6.90;0.85;5.55
284;-0.08;-0.06;1.39;-4.82;-3.91;6.77
285;-0.09;-0.07;1.37;0.24;-7.14;10.13
286;-0.09;-0.09;1.34;4.88;-9.28;10.07
287;-0.09;-0.11;1.30;8.67;-11.35;7.93
288;-0.11;-0.15;1.26;11.60;-14.10;5.19
289;-0.16;-0.10;1.23;13.31;-19.10;3.42
290;-0.11;-0.17;1.19;15.93;-23.13;9.52
291;-0.14;-0.18;1.16;15.44;-23.62;-0.31
292;-0.15;-0.17;1.13;11.66;-22.64;-7.87
293;-0.15;-0.15;1.11;8.97;-22.03;-10.44
294;-0.17;-0.14;1.08;7.45;-23.56;-10.07
295;-0.17;-0.13;1.07;7.69;-24.66;-5.92
296;-0.17;-0.12;1.05;8.12;-24.60;-2.93
297;-0.19;-0.11;1.05;8.85;-24.48;-1.28
298;-0.19;-0.08;1.03;10.74;-24.48;1.04
299;-0.17;-0.18;1.02;9.95;-15.75;2.32
300;-0.09;-0.08;1.01;7.57;-16.11;-1.59
301;-0.20;-0.16;0.99;12.63;-23.01;-2.81
302;-0.13;-0.14;0.97;12.15;-24.29;-2.50
303;-0.16;-0.15;0.95;10.93;-26.37;-4.03
304;-0.14;-0.11;0.93;9.52;-28.75;-6.41
305;-0.17;-0.11;0.93;10.31;-32.04;-8.30
306;-0.18;-0.12;0.92;12.45;-34.55;-8.54
307;-0.18;-0.13;0.91;14.28;-34.24;-7.69
308;-0.18;-0.15;0.90;14.28;-32.23;-7.26
309;-0.19;-0.15;0.90;12.82;-28.87;-6.47
310;-0.18;-0.14;0.91;10.44;-24.17;-5.00
311;-0.18;-0.14;0.90;8.42;-20.14;-4.46
312;-0.18;-0.15;0.89;7.08;-17.27;-4.46
313;-0.19;-0.16;0.88;5.37;-15.08;-4.27
314;-0.19;-0.16;0.87;3.36;-13.92;-3.36
315;-0.19;-0.16;0.85;1.53;-13.24;-2.38
316;-0.20;-0.17;0.83;-0.24;-12.70;-1.77
317;-0.20;-0.16;0.81;-2.87;-12.33;-1.16
318;-0.19;-0.12;0.80;-5.43;-11.72;-0.92
319;-0.18;-0.09;0.80;-6.23;-10.86;-1.53
320;-0.19;-0.08;0.79;-4.64;-10.31;-3.36
321;-0.20;-0.07;0.79;-1.89;-8.73;-5.00
322;-0.21;-0.08;0.80;1.59;-6.47;-6.59
323;-0.21;-0.10;0.81;3.78;-3.48;-6.96
324;-0.21;-0.10;0.81;3.36;0.67;-6.23
325;-0.21;-0.10;0.82;1.53;4.21;-5.07
326;-0.21;-0.10;0.84;-0.06;6.90;-3.54
327;-0.20;-0.08;0.86;-2.32;9.40;-0.85
328;-0.18;-0.07;0.88;-3.48;11.47;2.01
329;-0.18;-0.07;0.90;-3.72;12.76;3.91
330;-0.18;-0.06;0.93;-3.72;14.16;4.82
331;-0.18;-0.05;0.97;-3.05;15.50;4.88
332;-0.18;-0.06;0.99;-1.40;16.48;4.52
333;-0.18;-0.07;1.01;0.24;16.85;4.21
334;-0.18;-0.08;1.03;1.40;16.36;4.27
335;-0.17;-0.10;1.05;2.01;15.20;4.58
336;-0.17;-0.12;1.07;1.95;14.59;5.43
337;-0.17;-0.13;1.09;1.46;14.65;6.10
338;-0.15;-0.12;1.11;1.04;14.47;6.23
339;-0.14;-0.12;1.13;1.95;13.49;5.92
340;-0.13;-0.13;1.14;4.27;10.99;4.76
341;-0.14;-0.16;1.15;7.39;7.20;3.05
342;-0.16;-0.20;1.14;8.67;2.81;1.83
343;-0.18;-0.21;1.12;7.32;0.31;0.67
344;-0.20;-0.21;1.09;3.78;-0.37;0.00
345;-0.21;-0.18;1.07;0.12;-0.12;-0.18
346;-0.21;-0.16;1.04;-1.71;0.37;-0.12
347;-0.21;-0.14;1.02;-2.62;0.43;-0.37
348;-0.21;-0.13;1.01;-2.75;0.43;-0.49
349;-0.22;-0.12;1.00;-1.95;0.61;-0.31
350;-0.21;-0.11;0.99;-0.92;1.10;-0.18
351;-0.21;-0.10;0.99;0.98;1.53;-0.12
352;-0.20;-0.09;0.99;3.17;1.28;-0.49
353;-0.19;-0.10;0.99;5.74;0.24;-1.10
354;-0.19;-0.12;0.99;8.06;-0.61;-1.77
355;-0.19;-0.12;1.00;8.30;-1.16;-2.81
356;-0.19;-0.12;1.00;8.06;-1.46;-3.23
357;-0.19;-0.14;1.00;7.32;-1.04;-3.05
358;-0.19;-0.13;1.01;5.00;0.18;-2.38
359;-0.18;-0.12;1.02;2.93;1.46;-1.77
360;-0.18;-0.11;1.03;1.89;2.44;-0.92
361;-0.18;-0.10;1.04;1.65;2.93;-0.61
362;-0.18;-0.10;1.05;1.89;3.23;-0.43
363;-0.19;-0.10;1.06;2.14;3.36;0.06
364;-0.19;-0.12;1.07;2.56;3.11;0.85
365;-0.19;-0.12;1.08;1.59;2.62;2.08
366;-0.19;-0.11;1.11;0.12;1.83;2.87
367;-0.20;-0.09;1.14;-0.06;0.73;2.99
368;-0.22;-0.08;1.17;1.28;-0.55;2.44
369;-0.22;-0.08;1.19;3.60;-1.89;1.83
370;-0.22;-0.10;1.20;6.35;-3.30;1.71
371;-0.21;-0.12;1.21;7.39;-5.13;2.14
372;-0.21;-0.14;1.22;6.84;-7.26;2.93
373;-0.20;-0.13;1.23;5.49;-9.34;4.09
374;-0.22;-0.13;1.25;4.82;-11.78;4.52
375;-0.23;-0.12;1.26;5.49;-13.00;4.70
376;-0.23;-0.12;1.25;7.20;-14.10;4.46
377;-0.23;-0.12;1.24;9.64;-15.63;4.15
378;-0.23;-0.13;1.22;13.00;-17.94;3.42
379;-0.23;-0.15;1.19;15.75;-21.06;2.69
380;-0.24;-0.16;1.16;16.97;-24.66;2.14
381;-0.25;-0.15;1.12;16.85;-27.89;1.10
382;-0.26;-0.13;1.09;17.15;-30.52;-0.18
383;-0.27;-0.11;1.06;18.80;-32.35;-1.59
384;-0.28;-0.12;1.02;22.03;-33.63;-2.99
385;-0.29;-0.14;0.99;25.09;-34.55;-3.78
386;-0.30;-0.16;0.95;26.06;-34.55;-4.09
387;-0.30;-0.17;0.92;25.21;-33.69;-4.33
388;-0.30;-0.19;0.89;23.01;-31.86;-4.09
389;-0.30;-0.19;0.85;19.84;-29.30;-3.48
390;-0.29;-0.19;0.83;16.11;-26.31;-2.62
391;-0.29;-0.19;0.80;13.06;-23.56;-2.14
392;-0.28;-0.18;0.77;10.62;-20.39;-1.28
393;-0.26;-0.18;0.75;8.54;-18.01;-0.85
394;-0.32;-0.19;0.74;7.57;-18.01;-1.04
395;-0.29;-0.23;0.71;4.33;-5.86;5.31
396;-0.19;-0.18;0.65;0.92;-1.95;3.36
397;-0.24;-0.17;0.62;2.14;-0.37;-3.23
398;-0.19;-0.13;0.62;2.01;1.59;-2.93
399;-0.19;-0.11;0.63;3.72;2.26;-3.05
400;-0.17;-0.12;0.65;6.71;0.85;-3.66
401;-0.17;-0.14;0.68;9.16;-1.65;-4.58
402;-0.16;-0.15;0.70;10.01;-3.42;-5.00
403;-0.16;-0.18;0.71;10.31;-4.21;-4.70
404;-0.15;-0.18;0.72;9.09;-4.39;-4.27
405;-0.17;-0.19;0.73;7.20;-4.76;-4.03
406;-0.19;-0.19;0.73;4.21;-4.27;0.31
407;-0.09;-0.16;0.74;-1.28;-3.05;8.30
408;-0.15;-0.17;0.74;-5.13;-4.70;9.16
409;-0.16;-0.15;0.76;-9.09;-3.72;8.06
410;-0.15;-0.10;0.76;-12.15;-0.73;4.09
411;-0.16;-0.10;0.77;-10.74;2.38;0.24
412;-0.17;-0.10;0.79;-8.12;6.41;-3.05
413;-0.18;-0.12;0.79;-6.65;10.31;-4.15
414;-0.17;-0.12;0.80;-6.41;14.59;-3.30
415;-0.17;-0.09;0.80;-7.32;17.64;-1.40
416;-0.17;-0.06;0.80;-7.45;19.41;0.06
417;-0.17;-0.05;0.79;-6.71;20.45;1.46
418;-0.17;-0.05;0.78;-6.29;20.81;2.08
419;-0.17;-0.05;0.76;-7.39;19.96;1.28
420;-0.19;-0.03;0.76;-8.18;18.07;-0.49
421;-0.20;-0.01;0.78;-7.26;15.87;-2.20
422;-0.24;-0.01;0.82;-4.03;14.95;-3.42
423;-0.27;-0.03;0.85;0.37;15.99;-3.36
424;-0.29;-0.06;0.87;4.21;18.19;-2.44
425;-0.30;-0.10;0.88;6.10;20.87;-0.31
426;-0.31;-0.12;0.87;4.70;23.68;2.62
427;-0.30;-0.15;0.90;0.24;25.82;5.55
428;-0.15;-0.16;0.95;-4.82;28.81;8.42
429;-0.31;-0.11;1.03;-7.14;29.24;11.29
430;-0.20;-0.26;1.05;-7.63;31.25;5.49
431;-0.30;-0.17;1.12;-12.33;35.64;-5.80
432;-0.27;-0.24;1.17;-10.38;37.84;0.43
433;-0.31;-0.19;1.21;-7.93;40.04;3.66
434;-0.31;-0.21;1.24;-2.32;40.22;7.26
435;-0.31;-0.22;1.27;2.81;41.63;3.48
436;-0.34;-0.24;1.28;6.71;43.40;1.71
437;-0.32;-0.26;1.28;7.63;44.74;0.18
438;-0.34;-0.29;1.28;5.98;44.92;0.37
439;-0.22;-0.19;1.30;2.32;42.85;-0.24
440;-0.32;-0.47;1.31;5.74;28.32;-13.24
441;-0.36;-0.19;1.37;-1.83;21.67;-41.26
442;-0.24;-0.20;1.38;-4.03;18.07;4.82
443;-0.21;-0.30;1.36;0.98;18.86;19.59
444;-0.30;-0.23;1.36;-2.93;17.88;-4.52
445;-0.25;-0.20;1.36;-7.14;20.39;-4.94
446;-0.24;-0.18;1.36;-7.14;19.84;-2.26
447;-0.22;-0.17;1.37;-5.00;16.78;-1.04
448;-0.23;-0.18;1.40;-1.10;14.04;2.56
449;-0.19;-0.18;1.41;1.16;13.24;4.27
450;-0.20;-0.21;1.40;2.87;11.41;3.05
451;-0.19;-0.20;1.40;2.50;11.05;1.89
452;-0.16;-0.19;1.38;0.73;10.68;0.43
453;-0.16;-0.15;1.35;-1.53;7.93;-2.01
454;-0.14;-0.09;1.32;-2.44;4.88;0.37
455;-0.12;-0.05;1.30;0.00;0.31;2.87
456;-0.13;-0.05;1.27;4.94;-5.55;1.65
457;-0.13;-0.11;1.22;9.09;-10.62;2.69
458;-0.15;-0.13;1.17;6.65;-11.84;1.46
459;-0.15;-0.08;1.12;-0.92;-9.58;2.20
460;-0.12;0.01;1.14;-4.03;-7.75;3.91
461;-0.09;0.06;1.16;3.11;-13.37;4.03
462;-0.12;-0.03;1.14;18.62;-23.32;3.05
463;-0.16;-0.14;1.13;28.63;-29.66;2.14
464;-0.19;-0.16;1.13;29.66;-30.76;3.17
465;-0.18;-0.17;1.13;27.83;-28.93;3.85
466;-0.20;-0.22;1.12;28.87;-26.49;3.36
467;-0.21;-0.25;1.10;28.38;-23.80;2.87
468;-0.21;-0.26;1.08;25.70;-21.36;1.34
469;-0.22;-0.29;1.05;21.73;-19.47;-0.85
470;-0.26;-0.27;1.02;15.38;-18.01;-2.38
471;-0.24;-0.32;0.98;6.71;-11.11;-1.28
472;-0.17;-0.18;0.97;-0.61;-8.54;-4.33
473;-0.27;-0.19;0.93;0.92;-13.18;-4.94
474;-0.17;-0.12;0.91;3.48;-14.77;-2.81
475;-0.21;-0.11;0.90;8.79;-18.37;-5.37
