Index;ax;ay;az;gx;gy;gz
41;0.13;-0.24;1.01;-5.98;7.93;75.20
42;0.15;-0.25;1.01;-5.80;4.58;75.01
43;0.16;-0.26;1.02;-6.35;0.85;73.24
44;0.17;-0.26;1.03;-6.96;-3.30;70.62
45;0.17;-0.28;1.03;-7.51;-6.84;67.99
46;0.17;-0.29;1.04;-8.61;-9.64;65.43
47;0.18;-0.30;1.06;-10.13;-10.31;64.33
48;0.19;-0.31;1.07;-9.89;-9.95;62.50
49;0.19;-0.32;1.07;-10.01;-9.03;59.02
50;0.19;-0.32;1.06;-11.29;-7.51;54.69
51;0.19;-0.29;1.04;-12.70;-5.92;50.72
52;0.19;-0.28;1.03;-12.39;-6.16;46.14
53;0.18;-0.29;1.03;-10.44;-7.02;41.32
54;0.18;-0.30;1.03;-8.24;-7.81;37.35
55;0.17;-0.32;1.04;-5.68;-8.36;34.24
56;0.17;-0.34;1.04;-3.78;-8.36;31.43
57;0.18;-0.33;1.05;-1.59;-7.63;28.87
58;0.19;-0.30;1.05;2.20;-7.02;24.54
59;0.19;-0.32;1.04;8.54;-7.32;18.92
60;0.18;-0.34;1.03;14.47;-6.90;13.98
61;0.18;-0.37;1.03;17.64;-5.86;9.58
62;0.20;-0.40;1.03;17.52;-4.03;4.94
63;0.20;-0.43;1.04;13.73;-1.65;-1.71
64;0.20;-0.43;1.05;7.63;1.40;-9.22
65;0.19;-0.41;1.06;1.89;3.85;-17.21
66;0.19;-0.38;1.07;-1.10;4.88;-24.84
67;0.18;-0.38;1.06;-1.95;4.58;-31.13
68;0.17;-0.37;1.05;-3.11;3.48;-36.44
69;0.17;-0.31;1.03;-4.27;1.89;-41.75
70;0.16;-0.28;1.03;-4.27;-1.10;-47.55
71;0.14;-0.26;1.02;-2.62;-4.21;-53.04
72;0.12;-0.23;1.02;-0.12;-6.65;-58.41
73;0.11;-0.23;1.01;2.50;-8.79;-62.99
74;0.11;-0.25;1.01;3.78;-10.25;-66.65
75;0.09;-0.24;1.01;2.69;-11.05;-70.37
76;0.07;-0.22;1.01;0.18;-10.80;-72.69
77;0.06;-0.19;1.02;-2.38;-10.31;-72.81
78;0.05;-0.17;1.02;-4.21;-10.31;-72.57
79;0.03;-0.15;1.02;-6.16;-11.35;-72.63
80;0.04;-0.14;1.03;-9.28;-13.61;-72.33
81;0.02;-0.13;1.04;-13.73;-15.99;-73.97
82;0.00;-0.09;1.05;-18.86;-17.94;-75.38
83;0.00;-0.08;1.05;-21.24;-19.41;-75.26
84;-0.02;-0.07;1.05;-22.16;-19.96;-75.93
85;-0.02;-0.07;1.05;-22.34;-19.53;-78.49
86;-0.05;-0.05;1.05;-22.09;-17.27;-82.82
87;-0.05;-0.02;1.06;-21.00;-12.63;-84.35
88;-0.03;0.01;1.06;-17.88;-10.19;-84.29
89;-0.04;-0.00;1.04;-13.43;-10.01;-84.53
90;-0.03;-0.00;1.03;-10.93;-9.52;-86.55
91;-0.04;-0.00;1.03;-10.01;-10.74;-88.26
92;-0.06;0.00;1.05;-10.13;-12.88;-88.62
93;-0.05;0.01;1.06;-10.50;-14.65;-88.62
94;-0.07;0.03;1.06;-12.08;-15.20;-88.81
95;-0.08;0.05;1.06;-14.95;-14.28;-85.82
96;-0.09;0.09;1.05;-17.64;-13.92;-82.70
97;-0.10;0.13;1.03;-18.74;-14.22;-80.63
98;-0.12;0.16;1.02;-16.72;-14.71;-80.81
99;-0.12;0.19;1.02;-13.49;-13.61;-80.75
100;-0.12;0.21;1.02;-9.83;-10.62;-80.38
101;-0.12;0.23;1.02;-5.92;-6.65;-79.59
102;-0.10;0.24;1.03;-1.95;-3.17;-78.00
103;-0.14;0.22;1.03;1.77;-0.37;-78.49
104;-0.15;0.22;1.02;4.33;3.30;-78.06
105;-0.16;0.20;1.01;6.04;5.31;-74.65
106;-0.18;0.20;1.00;6.71;5.62;-71.59
107;-0.18;0.20;0.98;7.14;4.88;-68.18
108;-0.19;0.19;0.97;6.77;2.99;-65.06
109;-0.19;0.20;0.95;4.27;0.79;-61.65
110;-0.19;0.22;0.94;-0.06;-1.34;-57.80
111;-0.19;0.25;0.93;-4.76;-1.77;-52.37
112;-0.18;0.29;0.93;-9.46;-0.73;-47.91
113;-0.16;0.36;0.93;-12.82;1.65;-46.20
114;-0.17;0.42;0.94;-13.00;3.72;-44.86
115;-0.15;0.47;0.94;-10.56;6.04;-39.92
116;-0.14;0.50;0.94;-7.20;7.93;-35.34
117;-0.12;0.55;0.94;-5.19;8.79;-31.86
118;-0.11;0.57;0.94;-2.69;7.20;-28.02
119;-0.12;0.57;0.93;-0.43;4.52;-24.11
120;-0.13;0.57;0.93;0.79;1.83;-18.37
121;-0.12;0.56;0.94;0.85;-0.55;-9.46
122;-0.12;0.55;0.95;1.34;-2.75;-1.95
123;-0.12;0.52;0.95;1.65;-3.78;5.74
124;-0.12;0.49;0.96;0.85;-4.33;13.49
125;-0.12;0.46;0.96;-0.43;-3.97;20.63
126;-0.12;0.44;0.97;-1.46;-3.54;26.92
127;-0.13;0.42;0.97;-1.65;-3.05;31.07
128;-0.12;0.40;0.97;-0.49;-2.81;34.97
129;-0.11;0.38;0.98;1.77;-2.56;38.51
130;-0.10;0.35;1.00;5.13;-2.08;41.20
131;-0.09;0.31;1.02;9.58;-1.83;43.52
132;-0.08;0.25;1.04;13.12;-1.28;45.04
133;-0.07;0.20;1.05;15.38;-1.10;45.78
134;-0.06;0.16;1.07;16.36;-1.10;47.36
135;-0.05;0.10;1.07;16.42;-1.40;49.07
136;-0.06;0.07;1.07;14.83;-1.77;50.84
137;-0.06;0.05;1.07;13.00;-2.20;52.49
138;-0.05;0.04;1.07;12.15;-2.75;53.47
139;-0.06;0.03;1.06;12.82;-3.11;53.53
140;-0.07;0.01;1.06;14.40;-2.75;52.73
141;-0.06;-0.03;1.06;16.91;-1.71;53.10
142;-0.07;-0.06;1.06;18.80;-0.31;52.00
143;-0.05;-0.09;1.05;18.98;2.01;53.53
144;-0.05;-0.12;1.04;17.88;2.81;55.91
145;-0.05;-0.14;1.03;14.53;3.66;57.19
146;-0.06;-0.13;1.02;10.31;3.66;56.82
147;-0.06;-0.12;1.01;7.39;2.26;57.31
148;-0.08;-0.15;1.01;6.35;0.31;57.31
149;-0.09;-0.16;1.00;5.07;-0.18;55.66
150;-0.08;-0.17;1.00;3.78;-0.12;54.50
151;-0.08;-0.17;1.00;3.42;-0.55;50.60
152;-0.08;-0.17;1.01;4.70;-0.37;44.07
153;-0.08;-0.18;1.02;8.36;0.43;37.23
154;-0.09;-0.20;1.02;13.49;1.40;29.91
155;-0.09;-0.23;1.02;17.82;4.03;23.38
156;-0.10;-0.27;1.00;21.00;7.02;17.58
157;-0.09;-0.28;1.00;21.00;10.56;12.82
158;-0.08;-0.27;0.99;19.41;12.51;8.12
159;-0.09;-0.27;0.98;17.76;12.70;5.80
160;-0.07;-0.28;0.97;14.71;10.93;7.45
161;-0.07;-0.26;0.98;8.97;8.00;7.51
162;-0.06;-0.23;0.99;2.99;4.88;7.93
163;-0.05;-0.20;1.00;-2.01;1.95;7.32
164;-0.05;-0.16;1.02;-5.49;0.18;4.09
165;-0.06;-0.11;1.03;-7.14;-0.12;-0.61
166;-0.06;-0.08;1.04;-6.23;1.04;-4.94
167;-0.06;-0.05;1.03;-3.36;3.36;-9.03
168;-0.06;-0.04;1.03;0.06;6.10;-13.06
169;-0.06;-0.03;1.03;2.38;8.97;-16.85
170;-0.06;-0.03;1.03;3.72;11.29;-20.39
171;-0.06;-0.02;1.04;3.91;13.37;-23.13
172;-0.05;-0.01;1.04;3.48;14.89;-24.48
173;-0.04;0.01;1.05;3.42;15.01;-23.86
174;-0.04;0.01;1.04;4.21;12.76;-22.64
175;-0.04;-0.00;1.04;3.85;9.34;-20.63
176;-0.02;0.01;1.05;1.28;5.80;-16.97
177;-0.05;0.02;1.05;-2.44;-0.24;-13.61
178;-0.05;0.04;1.06;-6.53;-4.52;-10.13
179;-0.05;0.07;1.06;-9.46;-6.16;-7.32
180;-0.06;0.09;1.06;-10.13;-6.65;-6.41
181;-0.07;0.09;1.06;-9.03;-6.10;-7.57
182;-0.09;0.10;1.06;-7.45;-4.03;-8.85
183;-0.09;0.11;1.06;-5.43;-1.65;-9.64
184;-0.09;0.12;1.05;-3.72;-0.12;-11.05
185;-0.09;0.14;1.04;-2.01;1.10;-11.29
186;-0.08;0.18;1.04;-1.10;1.10;-10.68
187;-0.07;0.22;1.03;0.24;0.92;-10.07
188;-0.09;0.24;1.02;3.42;-0.61;-9.83
189;-0.11;0.25;1.01;7.45;-2.69;-9.22
190;-0.12;0.24;1.00;11.78;-4.58;-7.69
191;-0.15;0.22;0.99;15.44;-5.98;-5.74
192;-0.20;0.17;1.00;16.97;-5.98;-3.60
193;-0.22;0.18;1.00;13.37;-5.07;1.04
194;-0.23;0.19;0.99;7.63;-4.09;6.71
195;-0.23;0.23;0.99;0.49;-2.93;10.62
196;-0.22;0.27;0.98;-4.58;-2.38;13.61
197;-0.20;0.30;0.99;-5.74;-2.20;16.78
198;-0.20;0.30;0.99;-3.54;-1.95;20.39
199;-0.18;0.30;1.00;0.31;-0.79;24.78
200;-0.17;0.28;1.00;4.82;1.04;28.69
201;-0.17;0.27;1.01;8.85;2.56;32.04
202;-0.17;0.26;1.01;12.51;3.85;35.10
203;-0.17;0.23;1.01;15.20;4.09;38.64
204;-0.16;0.18;1.01;16.24;3.97;42.36
205;-0.14;0.15;1.02;14.53;4.15;47.42
206;-0.14;0.12;1.04;11.54;4.52;52.06
207;-0.12;0.09;1.05;8.12;5.62;57.25
208;-0.12;0.06;1.05;4.33;5.92;61.83
209;-0.11;0.06;1.04;0.00;6.77;65.67
210;-0.07;0.07;1.02;-3.72;7.08;68.85
211;-0.07;0.07;1.01;-6.16;5.62;70.19
212;-0.04;0.09;1.01;-6.16;4.39;70.13
213;-0.04;0.08;1.02;-2.01;2.14;68.05
214;-0.03;0.06;1.03;4.88;0.61;65.31
215;-0.02;0.02;1.03;12.82;0.12;62.19
216;-0.02;-0.03;1.03;19.59;0.55;60.12
217;-0.05;-0.08;1.03;23.50;1.10;58.41
218;-0.04;-0.12;1.02;24.17;2.87;57.43
219;-0.03;-0.15;1.01;22.03;4.39;57.37
220;-0.02;-0.17;1.01;18.01;5.07;58.29
221;0.00;-0.18;1.02;14.40;4.88;59.39
222;0.02;-0.22;1.03;12.02;3.97;60.12
223;0.02;-0.25;1.02;8.91;2.99;60.91
224;0.02;-0.25;1.02;4.88;2.75;60.85
225;0.02;-0.25;1.01;0.49;2.75;59.88
226;0.01;-0.25;1.00;-2.56;3.23;59.39
227;0.03;-0.25;1.00;-4.15;3.72;59.02
228;0.03;-0.26;1.01;-4.03;3.42;56.34
229;0.05;-0.26;1.03;-2.81;3.72;53.16
230;0.08;-0.27;1.04;-0.43;4.46;49.74
231;0.09;-0.29;1.04;1.77;4.33;45.29
232;0.09;-0.31;1.04;2.26;4.27;40.95
233;0.11;-0.31;1.05;1.71;3.72;37.05
234;0.12;-0.31;1.06;1.28;2.87;32.29
235;0.13;-0.31;1.07;1.59;1.59;26.79
236;0.13;-0.33;1.08;2.44;-0.06;21.12
237;0.13;-0.34;1.08;2.99;-1.83;15.87
238;0.13;-0.36;1.08;2.50;-3.54;11.78
239;0.13;-0.35;1.06;1.10;-4.76;7.63
240;0.12;-0.33;1.05;-0.55;-6.41;3.60
241;0.11;-0.30;1.05;-1.34;-8.42;-0.31
242;0.10;-0.29;1.04;-0.79;-10.68;-3.97
243;0.08;-0.29;1.04;-0.49;-12.45;-6.96
244;0.07;-0.27;1.04;-0.61;-12.88;-10.68
245;0.06;-0.24;1.04;-0.73;-12.39;-14.59
246;0.05;-0.22;1.04;-0.43;-11.23;-18.55
247;0.04;-0.20;1.04;-0.37;-9.64;-23.01
248;0.04;-0.19;1.06;0.79;-8.00;-27.47
249;0.04;-0.18;1.07;2.75;-5.80;-31.49
250;0.04;-0.19;1.08;4.39;-3.91;-34.85
251;0.04;-0.19;1.08;4.94;-2.01;-37.48
252;0.05;-0.19;1.08;4.09;-0.79;-39.37
253;0.04;-0.18;1.06;2.44;-0.73;-41.75
254;0.05;-0.17;1.06;1.28;-1.83;-43.52
255;0.04;-0.16;1.05;0.79;-4.27;-44.74
256;0.04;-0.16;1.05;0.43;-6.77;-44.25
257;0.04;-0.16;1.05;0.12;-9.58;-43.27
258;0.01;-0.16;1.06;0.12;-11.84;-43.21
259;-0.01;-0.17;1.06;-1.10;-12.76;-42.72
260;-0.02;-0.15;1.06;-3.11;-11.78;-42.91
261;-0.04;-0.15;1.05;-4.88;-10.62;-45.10
262;-0.07;-0.14;1.05;-5.98;-9.03;-47.61
263;-0.05;-0.14;1.03;-7.45;-7.20;-49.32
264;-0.08;-0.14;1.02;-9.28;-6.96;-53.59
265;-0.10;-0.11;1.01;-11.17;-6.90;-56.88
266;-0.09;-0.10;1.00;-11.41;-7.14;-58.53
267;-0.10;-0.09;1.00;-9.83;-9.89;-60.73
268;-0.12;-0.09;1.00;-8.79;-12.57;-64.21
269;-0.14;-0.06;1.00;-8.42;-13.12;-67.99
270;-0.13;-0.04;1.02;-8.42;-12.70;-67.81
271;-0.12;-0.04;1.02;-9.03;-13.18;-66.10
272;-0.13;-0.03;1.02;-10.93;-14.22;-65.37
273;-0.12;0.01;1.02;-14.77;-15.63;-64.39
274;-0.12;0.05;1.02;-16.85;-16.97;-63.66
275;-0.14;0.09;1.02;-15.87;-18.19;-64.70
276;-0.15;0.12;1.01;-12.63;-16.78;-63.90
277;-0.16;0.13;1.00;-8.12;-14.65;-62.62
278;-0.18;0.13;0.99;-4.82;-11.78;-62.26
279;-0.18;0.12;0.99;-3.91;-8.42;-61.89
280;-0.17;0.14;0.99;-5.43;-4.94;-61.58
281;-0.16;0.16;0.99;-7.93;-0.67;-60.91
282;-0.15;0.18;0.99;-9.09;3.36;-59.57
283;-0.13;0.20;0.99;-9.09;6.65;-58.84
284;-0.11;0.21;1.00;-7.81;8.18;-58.96
285;-0.11;0.23;1.00;-5.74;7.75;-60.61
286;-0.11;0.25;1.00;-2.75;5.55;-62.87
287;-0.13;0.27;1.01;0.67;2.38;-66.59
288;-0.12;0.28;1.02;3.97;0.12;-70.62
289;-0.17;0.28;1.01;6.84;-1.28;-75.13
290;-0.17;0.28;1.00;8.54;0.06;-73.97
291;-0.17;0.26;1.00;8.18;0.92;-71.29
292;-0.16;0.28;1.00;5.68;2.56;-68.24
293;-0.15;0.31;0.99;2.62;3.78;-63.54
294;-0.15;0.33;0.99;0.06;3.72;-59.14
295;-0.17;0.36;1.00;-2.14;2.75;-55.30
296;-0.16;0.39;1.01;-2.81;1.77;-49.93
297;-0.16;0.41;1.01;-1.95;0.31;-44.19
298;-0.17;0.41;1.00;-0.37;-1.89;-39.06
299;-0.16;0.44;0.99;0.06;-4.03;-34.73
300;-0.15;0.46;0.98;0.67;-5.68;-29.30
301;-0.17;0.48;0.97;1.59;-8.18;-25.88
302;-0.17;0.49;0.96;3.48;-10.62;-22.71
303;-0.19;0.48;0.96;6.77;-12.63;-19.65
304;-0.21;0.47;0.95;9.64;-12.70;-16.36
305;-0.22;0.45;0.95;11.60;-11.29;-12.63
306;-0.22;0.42;0.95;12.76;-8.91;-7.93
307;-0.22;0.39;0.94;12.21;-6.23;-2.50
308;-0.21;0.36;0.94;11.11;-4.39;3.91
309;-0.20;0.34;0.95;9.16;-2.93;10.01
310;-0.18;0.33;0.96;7.32;-1.40;15.93
311;-0.17;0.32;0.96;6.65;-0.79;20.94
312;-0.17;0.31;0.96;6.53;-0.92;25.57
313;-0.16;0.30;0.97;6.53;-1.77;30.33
314;-0.16;0.27;0.97;7.75;-2.01;33.87
315;-0.16;0.24;0.98;9.77;-2.01;35.40
316;-0.15;0.21;0.99;11.66;-1.10;36.38
317;-0.14;0.17;1.00;13.00;-0.06;36.99
318;-0.14;0.14;1.00;13.55;1.34;38.70
319;-0.13;0.11;1.00;12.82;2.08;40.22
320;-0.14;0.10;1.00;11.54;2.32;41.14
321;-0.14;0.07;1.00;10.86;1.83;42.42
322;-0.15;0.06;0.99;10.25;1.53;43.33
323;-0.14;0.03;0.99;10.01;0.98;44.74
324;-0.16;0.01;1.00;10.44;0.85;44.68
325;-0.14;-0.02;1.01;11.05;2.14;46.57
326;-0.13;-0.05;1.03;12.15;4.15;47.55
327;-0.12;-0.08;1.04;12.70;6.23;48.83
328;-0.12;-0.12;1.04;11.96;8.42;49.32
329;-0.10;-0.13;1.04;8.91;9.95;49.62
330;-0.10;-0.12;1.03;5.07;10.62;49.62
331;-0.08;-0.11;1.03;2.44;9.83;47.67
332;-0.10;-0.11;1.03;1.83;8.36;41.75
333;-0.10;-0.10;1.03;2.08;7.63;36.87
334;-0.09;-0.11;1.03;4.70;6.59;32.53
335;-0.09;-0.14;1.04;8.67;5.62;28.26
336;-0.09;-0.15;1.04;11.66;5.98;24.60
337;-0.08;-0.17;1.04;13.92;6.65;21.73
338;-0.08;-0.20;1.04;15.14;6.96;19.35
339;-0.08;-0.21;1.03;13.79;6.59;17.15
340;-0.08;-0.21;1.03;10.62;5.55;15.44
341;-0.08;-0.20;1.02;7.26;4.27;15.01
342;-0.08;-0.19;1.02;4.03;2.50;15.38
343;-0.09;-0.19;1.02;0.73;0.55;15.56
344;-0.07;-0.16;1.03;-1.89;-0.12;16.05
345;-0.05;-0.12;1.04;-3.97;-0.43;14.16
346;-0.06;-0.09;1.05;-3.05;-0.55;9.16
347;-0.07;-0.08;1.04;-0.37;-0.24;3.60
348;-0.07;-0.07;1.03;2.99;0.49;-1.53
349;-0.08;-0.08;1.02;5.92;1.59;-5.07
350;-0.10;-0.09;1.00;7.45;2.99;-8.00
351;-0.11;-0.08;1.00;5.92;4.58;-10.13
352;-0.11;-0.08;1.00;3.30;6.29;-11.11
353;-0.12;-0.08;1.00;0.06;7.93;-11.41
354;-0.12;-0.05;1.01;-3.78;9.89;-10.99
355;-0.11;-0.03;1.02;-7.20;10.86;-10.31
356;-0.09;-0.00;1.02;-9.40;11.23;-9.22
357;-0.08;0.02;1.03;-10.86;10.50;-7.87
358;-0.07;0.05;1.04;-11.17;8.48;-7.14
359;-0.06;0.07;1.05;-10.80;5.00;-6.77
360;-0.06;0.09;1.06;-10.31;1.04;-6.90
361;-0.06;0.13;1.06;-10.01;-1.95;-7.39
362;-0.06;0.17;1.07;-8.61;-3.48;-7.93
363;-0.08;0.19;1.07;-6.71;-4.27;-9.09
364;-0.09;0.21;1.07;-4.33;-4.52;-11.17
365;-0.11;0.22;1.05;-1.59;-4.82;-14.04
366;-0.12;0.22;1.04;0.92;-4.64;-15.14
367;-0.14;0.22;1.02;2.99;-4.94;-14.83
368;-0.15;0.22;1.00;4.21;-5.74;-13.43
369;-0.16;0.22;0.99;4.58;-7.81;-11.05
370;-0.18;0.23;0.98;4.33;-11.60;-8.97
371;-0.19;0.23;0.97;3.91;-14.83;-5.74
372;-0.21;0.25;0.97;2.99;-17.27;-2.75
373;-0.23;0.25;0.96;2.08;-17.64;0.12
374;-0.23;0.27;0.96;0.92;-16.24;2.81
375;-0.23;0.29;0.95;0.06;-14.04;4.21
376;-0.24;0.30;0.95;0.85;-11.54;5.31
377;-0.23;0.31;0.96;3.54;-8.18;7.20
378;-0.22;0.31;0.97;8.12;-4.70;10.07
379;-0.22;0.28;0.98;13.73;-1.10;13.92
380;-0.21;0.26;0.99;18.37;2.56;18.55
381;-0.19;0.23;0.99;19.65;5.37;23.38
382;-0.19;0.21;0.99;18.74;6.65;26.98
383;-0.17;0.21;0.99;17.15;6.47;30.52
384;-0.17;0.18;0.99;15.93;4.46;34.06
385;-0.17;0.16;1.00;14.47;2.75;38.39
386;-0.15;0.13;1.01;13.55;1.34;43.58
387;-0.16;0.09;1.03;12.51;0.73;48.40
388;-0.14;0.09;1.04;10.13;1.71;53.53
389;-0.14;0.08;1.04;7.57;3.11;57.19
390;-0.14;0.08;1.04;5.07;5.07;60.18
391;-0.13;0.06;1.03;3.17;6.41;62.81
392;-0.11;0.05;1.02;2.20;7.51;64.82
393;-0.11;0.02;1.02;0.98;8.30;65.55
394;-0.09;0.02;1.02;-0.61;9.58;66.28
395;-0.07;0.02;1.01;-0.55;9.46;65.98
396;-0.07;0.00;1.00;1.04;8.36;65.00
397;-0.07;-0.02;1.00;3.05;6.47;65.00
398;-0.07;-0.04;0.97;5.13;4.09;65.92
399;-0.07;-0.08;0.95;5.07;1.10;67.93
400;-0.08;-0.09;0.95;3.23;-2.08;69.34
401;-0.06;-0.10;0.97;0.79;-3.54;70.13
402;-0.05;-0.11;1.00;-0.31;-3.30;69.52
403;-0.05;-0.13;1.03;0.49;-1.71;67.75
404;-0.03;-0.16;1.05;3.11;0.06;64.88
405;-0.01;-0.19;1.07;7.14;1.16;60.97
406;-0.00;-0.23;1.09;10.99;2.08;57.43
407;0.00;-0.29;1.11;14.10;3.48;55.24
408;0.01;-0.33;1.13;15.81;4.82;53.89
409;0.02;-0.37;1.15;15.32;6.65;53.04
410;0.05;-0.40;1.15;13.12;8.06;52.19
411;0.05;-0.41;1.16;9.46;8.18;48.40
412;0.05;-0.41;1.15;5.68;7.14;43.09
413;0.05;-0.41;1.14;2.26;5.13;38.02
414;0.05;-0.40;1.13;-0.43;1.89;33.20
415;0.04;-0.39;1.12;-2.69;-2.44;28.38
416;0.04;-0.39;1.12;-4.03;-6.35;23.68
417;0.03;-0.37;1.11;-4.70;-9.77;19.41
418;0.02;-0.36;1.09;-4.46;-12.82;15.08
419;0.01;-0.35;1.08;-3.85;-14.89;10.01
420;0.00;-0.33;1.07;-3.42;-16.24;4.70
421;-0.01;-0.31;1.05;-2.75;-17.15;-0.67
422;-0.02;-0.29;1.03;-1.40;-17.15;-5.37
423;-0.03;-0.29;1.02;0.43;-16.54;-9.46
424;-0.04;-0.28;1.03;1.59;-14.65;-13.12
425;-0.02;-0.28;1.03;1.59;-12.27;-17.15
426;-0.02;-0.28;1.03;0.24;-10.07;-22.09
427;-0.01;-0.26;1.04;-2.14;-8.00;-28.26
428;-0.01;-0.23;1.03;-3.42;-6.41;-34.79
429;-0.02;-0.20;1.02;-2.93;-5.86;-41.20
430;-0.02;-0.19;1.01;-1.34;-6.10;-47.79
431;-0.02;-0.16;1.02;0.67;-6.77;-53.47
432;-0.05;-0.15;1.01;3.42;-8.18;-57.86
433;-0.05;-0.16;1.01;6.23;-10.31;-59.75
434;-0.07;-0.15;1.00;7.32;-11.90;-61.04
435;-0.10;-0.14;0.99;7.39;-12.21;-60.97
436;-0.12;-0.14;0.98;6.29;-10.74;-58.78
437;-0.14;-0.14;0.98;3.48;-7.81;-57.43
438;-0.14;-0.11;0.98;-0.37;-3.97;-56.82
439;-0.15;-0.09;0.99;-3.36;0.55;-56.40
440;-0.14;-0.09;0.99;-4.76;5.13;-55.97
441;-0.16;-0.07;0.99;-5.74;8.30;-57.31
442;-0.18;-0.06;0.99;-6.47;11.35;-57.37
443;-0.16;-0.04;0.99;-6.10;12.57;-56.03
444;-0.14;-0.04;0.99;-3.91;10.38;-55.73
445;-0.17;-0.04;1.00;-2.20;7.93;-58.11
446;-0.16;-0.02;1.00;-1.65;6.96;-60.24
447;-0.16;-0.01;1.00;-1.65;5.31;-59.57
448;-0.17;-0.01;1.00;-2.38;3.42;-59.20
449;-0.17;0.02;1.00;-5.49;2.87;-60.18
450;-0.19;0.04;1.01;-8.73;1.59;-63.29
451;-0.20;0.06;1.03;-10.25;1.53;-65.12
452;-0.19;0.07;1.03;-10.62;2.62;-64.45
453;-0.19;0.09;1.03;-10.99;3.17;-65.12
454;-0.16;0.12;1.03;-11.41;3.36;-66.83
455;-0.17;0.14;1.02;-11.66;2.50;-69.34
456;-0.18;0.15;1.02;-11.96;0.85;-70.07
457;-0.17;0.19;1.02;-11.72;-0.98;-69.09
458;-0.18;0.23;1.01;-9.70;-3.72;-67.99
459;-0.19;0.24;1.00;-6.77;-5.86;-65.86
460;-0.21;0.24;0.99;-3.66;-8.97;-64.21
461;-0.19;0.25;0.99;-2.32;-11.17;-62.81
462;-0.22;0.26;0.99;-1.77;-12.39;-63.54
463;-0.21;0.28;0.99;-1.95;-9.83;-60.67
464;-0.20;0.30;1.00;-1.77;-6.84;-57.50
465;-0.19;0.34;1.00;-2.38;-3.91;-55.79
466;-0.18;0.37;0.99;-2.08;-0.61;-53.89
467;-0.17;0.40;0.98;-0.85;1.65;-51.45
468;-0.15;0.44;0.99;0.73;2.20;-49.68
469;-0.14;0.47;1.00;4.76;1.28;-47.73
470;-0.13;0.47;1.01;10.31;-0.85;-44.62
471;-0.12;0.46;1.02;14.95;-3.36;-40.71
472;-0.11;0.45;1.02;16.42;-5.62;-37.48
473;-0.12;0.46;1.02;15.93;-7.14;-35.46
474;-0.13;0.47;1.02;14.71;-8.97;-32.47
475;-0.15;0.46;1.01;14.34;-10.38;-27.53
476;-0.16;0.43;1.00;13.67;-10.99;-22.46
477;-0.18;0.41;0.99;11.72;-10.68;-19.29
478;-0.18;0.39;0.98;8.85;-10.74;-11.90
479;-0.20;0.36;0.97;5.55;-10.68;-4.94
480;-0.20;0.34;0.95;0.85;-9.22;1.83
481;-0.20;0.34;0.95;-3.11;-7.87;8.12
482;-0.21;0.34;0.94;-5.37;-7.26;12.70
483;-0.21;0.33;0.95;-5.62;-6.71;17.33
484;-0.21;0.32;0.96;-3.85;-6.04;21.67
